Sexe, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Mii persoane, Valoare
Total, Bihor, Anul 1990, Mii persoane, 329
Total, Bihor, Anul 1991, Mii persoane, 333.9
Total, Bihor, Anul 1992, Mii persoane, 342.6
Total, Bihor, Anul 1993, Mii persoane, 343.2
Total, Bihor, Anul 1994, Mii persoane, 329.7
Total, Bihor, Anul 1995, Mii persoane, 283.2
Total, Bihor, Anul 1996, Mii persoane, 272.9
Total, Bihor, Anul 1997, Mii persoane, 269.6
Total, Bihor, Anul 1998, Mii persoane, 285
Total, Bihor, Anul 1999, Mii persoane, 278.9
Total, Bihor, Anul 2000, Mii persoane, 294.8
Total, Bihor, Anul 2001, Mii persoane, 290.1
Total, Bihor, Anul 2002, Mii persoane, 283.3
Total, Bihor, Anul 2003, Mii persoane, 281.9
Total, Bihor, Anul 2004, Mii persoane, 275.2
Total, Bihor, Anul 2005, Mii persoane, 279.9
Total, Bihor, Anul 2006, Mii persoane, 280.9
Total, Bihor, Anul 2007, Mii persoane, 284.8
Total, Bihor, Anul 2008, Mii persoane, 284.2
Total, Bihor, Anul 2009, Mii persoane, 285.8
Total, Bihor, Anul 2010, Mii persoane, 282.7
Total, Bihor, Anul 2011, Mii persoane, 274.6
Total, Bihor, Anul 2012, Mii persoane, 280
Total, Bihor, Anul 2013, Mii persoane, 276.7
Total, Bihor, Anul 2014, Mii persoane, 274.8
Total, Bihor, Anul 2015, Mii persoane, 272.4
Total, Bihor, Anul 2016, Mii persoane, 267.8
Total, Bihor, Anul 2017, Mii persoane, 266.9
Total, Bihor, Anul 2018, Mii persoane, 265.6
Total, Bihor, Anul 2019, Mii persoane, 264.2
Total, Bihor, Anul 2020, Mii persoane, 265
Total, Bihor, Anul 2021, Mii persoane, 234
Total, Bihor, Anul 2022, Mii persoane, 237.9
Total, Bihor, Anul 2023, Mii persoane, 236.4
Total, Bihor, Anul 2024, Mii persoane, 237.4
Total, Bistrita-Nasaud, Anul 1990, Mii persoane, 144.6
Total, Bistrita-Nasaud, Anul 1991, Mii persoane, 149.2
Total, Bistrita-Nasaud, Anul 1992, Mii persoane, 165.2
Total, Bistrita-Nasaud, Anul 1993, Mii persoane, 162.7
Total, Bistrita-Nasaud, Anul 1994, Mii persoane, 158.6
Total, Bistrita-Nasaud, Anul 1995, Mii persoane, 147.8
Total, Bistrita-Nasaud, Anul 1996, Mii persoane, 138
Total, Bistrita-Nasaud, Anul 1997, Mii persoane, 142.3
Total, Bistrita-Nasaud, Anul 1998, Mii persoane, 136.9
Total, Bistrita-Nasaud, Anul 1999, Mii persoane, 139.1
Total, Bistrita-Nasaud, Anul 2000, Mii persoane, 136
Total, Bistrita-Nasaud, Anul 2001, Mii persoane, 135
Total, Bistrita-Nasaud, Anul 2002, Mii persoane, 127.2
Total, Bistrita-Nasaud, Anul 2003, Mii persoane, 126.6
Total, Bistrita-Nasaud, Anul 2004, Mii persoane, 124.6
Total, Bistrita-Nasaud, Anul 2005, Mii persoane, 126.2
Total, Bistrita-Nasaud, Anul 2006, Mii persoane, 126.4
Total, Bistrita-Nasaud, Anul 2007, Mii persoane, 130.2
Total, Bistrita-Nasaud, Anul 2008, Mii persoane, 131.8
Total, Bistrita-Nasaud, Anul 2009, Mii persoane, 135.6
Total, Bistrita-Nasaud, Anul 2010, Mii persoane, 133.7
Total, Bistrita-Nasaud, Anul 2011, Mii persoane, 133.5
Total, Bistrita-Nasaud, Anul 2012, Mii persoane, 138.4
Total, Bistrita-Nasaud, Anul 2013, Mii persoane, 136.8
Total, Bistrita-Nasaud, Anul 2014, Mii persoane, 134.8
Total, Bistrita-Nasaud, Anul 2015, Mii persoane, 133.8
Total, Bistrita-Nasaud, Anul 2016, Mii persoane, 132.1
Total, Bistrita-Nasaud, Anul 2017, Mii persoane, 131.3
Total, Bistrita-Nasaud, Anul 2018, Mii persoane, 129
Total, Bistrita-Nasaud, Anul 2019, Mii persoane, 128.5
Total, Bistrita-Nasaud, Anul 2020, Mii persoane, 129.5
Total, Bistrita-Nasaud, Anul 2021, Mii persoane, 112.4
Total, Bistrita-Nasaud, Anul 2022, Mii persoane, 115.8
Total, Bistrita-Nasaud, Anul 2023, Mii persoane, 113.2
Total, Bistrita-Nasaud, Anul 2024, Mii persoane, 111.4
Total, Cluj, Anul 1990, Mii persoane, 369.5
Total, Cluj, Anul 1991, Mii persoane, 397.5
Total, Cluj, Anul 1992, Mii persoane, 411.3
Total, Cluj, Anul 1993, Mii persoane, 396.6
Total, Cluj, Anul 1994, Mii persoane, 401.6
Total, Cluj, Anul 1995, Mii persoane, 346.8
Total, Cluj, Anul 1996, Mii persoane, 359.6
Total, Cluj, Anul 1997, Mii persoane, 349.3
Total, Cluj, Anul 1998, Mii persoane, 351
Total, Cluj, Anul 1999, Mii persoane, 332
Total, Cluj, Anul 2000, Mii persoane, 334.9
Total, Cluj, Anul 2001, Mii persoane, 329.3
Total, Cluj, Anul 2002, Mii persoane, 331.9
Total, Cluj, Anul 2003, Mii persoane, 324.5
Total, Cluj, Anul 2004, Mii persoane, 320.5
Total, Cluj, Anul 2005, Mii persoane, 323.8
Total, Cluj, Anul 2006, Mii persoane, 326.3
Total, Cluj, Anul 2007, Mii persoane, 340.2
Total, Cluj, Anul 2008, Mii persoane, 344.6
Total, Cluj, Anul 2009, Mii persoane, 345.7
Total, Cluj, Anul 2010, Mii persoane, 341.9
Total, Cluj, Anul 2011, Mii persoane, 339
Total, Cluj, Anul 2012, Mii persoane, 346.1
Total, Cluj, Anul 2013, Mii persoane, 350.1
Total, Cluj, Anul 2014, Mii persoane, 353.6
Total, Cluj, Anul 2015, Mii persoane, 353.2
Total, Cluj, Anul 2016, Mii persoane, 360.6
Total, Cluj, Anul 2017, Mii persoane, 365.9
Total, Cluj, Anul 2018, Mii persoane, 366
Total, Cluj, Anul 2019, Mii persoane, 373.5
Total, Cluj, Anul 2020, Mii persoane, 374.9
Total, Cluj, Anul 2021, Mii persoane, 350.5
Total, Cluj, Anul 2022, Mii persoane, 361.3
Total, Cluj, Anul 2023, Mii persoane, 359.3
Total, Cluj, Anul 2024, Mii persoane, 356.7
Total, Maramures, Anul 1990, Mii persoane, 259.7
Total, Maramures, Anul 1991, Mii persoane, 266
Total, Maramures, Anul 1992, Mii persoane, 264.6
Total, Maramures, Anul 1993, Mii persoane, 262.2
Total, Maramures, Anul 1994, Mii persoane, 257.8
Total, Maramures, Anul 1995, Mii persoane, 246.5
Total, Maramures, Anul 1996, Mii persoane, 235.4
Total, Maramures, Anul 1997, Mii persoane, 232.8
Total, Maramures, Anul 1998, Mii persoane, 255.4
Total, Maramures, Anul 1999, Mii persoane, 230.5
Total, Maramures, Anul 2000, Mii persoane, 232.4
Total, Maramures, Anul 2001, Mii persoane, 227.1
Total, Maramures, Anul 2002, Mii persoane, 213.1
Total, Maramures, Anul 2003, Mii persoane, 208.2
Total, Maramures, Anul 2004, Mii persoane, 208.1
Total, Maramures, Anul 2005, Mii persoane, 209.5
Total, Maramures, Anul 2006, Mii persoane, 205.8
Total, Maramures, Anul 2007, Mii persoane, 205.7
Total, Maramures, Anul 2008, Mii persoane, 205.6
Total, Maramures, Anul 2009, Mii persoane, 208.6
Total, Maramures, Anul 2010, Mii persoane, 207.6
Total, Maramures, Anul 2011, Mii persoane, 205
Total, Maramures, Anul 2012, Mii persoane, 210.7
Total, Maramures, Anul 2013, Mii persoane, 209.1
Total, Maramures, Anul 2014, Mii persoane, 206.5
Total, Maramures, Anul 2015, Mii persoane, 202.8
Total, Maramures, Anul 2016, Mii persoane, 196.4
Total, Maramures, Anul 2017, Mii persoane, 198.9
Total, Maramures, Anul 2018, Mii persoane, 200.7
Total, Maramures, Anul 2019, Mii persoane, 201.8
Total, Maramures, Anul 2020, Mii persoane, 199.9
Total, Maramures, Anul 2021, Mii persoane, 175.7
Total, Maramures, Anul 2022, Mii persoane, 178.8
Total, Maramures, Anul 2023, Mii persoane, 176.2
Total, Maramures, Anul 2024, Mii persoane, 174.6
Total, Satu Mare, Anul 1990, Mii persoane, 185.1
Total, Satu Mare, Anul 1991, Mii persoane, 197.3
Total, Satu Mare, Anul 1992, Mii persoane, 200.1
Total, Satu Mare, Anul 1993, Mii persoane, 188.5
Total, Satu Mare, Anul 1994, Mii persoane, 192.5
Total, Satu Mare, Anul 1995, Mii persoane, 184.5
Total, Satu Mare, Anul 1996, Mii persoane, 179.1
Total, Satu Mare, Anul 1997, Mii persoane, 163.1
Total, Satu Mare, Anul 1998, Mii persoane, 173.6
Total, Satu Mare, Anul 1999, Mii persoane, 162.8
Total, Satu Mare, Anul 2000, Mii persoane, 164.4
Total, Satu Mare, Anul 2001, Mii persoane, 166.8
Total, Satu Mare, Anul 2002, Mii persoane, 155.7
Total, Satu Mare, Anul 2003, Mii persoane, 150.2
Total, Satu Mare, Anul 2004, Mii persoane, 145.4
Total, Satu Mare, Anul 2005, Mii persoane, 151.1
Total, Satu Mare, Anul 2006, Mii persoane, 153
Total, Satu Mare, Anul 2007, Mii persoane, 154.7
Total, Satu Mare, Anul 2008, Mii persoane, 155.5
Total, Satu Mare, Anul 2009, Mii persoane, 156.5
Total, Satu Mare, Anul 2010, Mii persoane, 154.6
Total, Satu Mare, Anul 2011, Mii persoane, 152.6
Total, Satu Mare, Anul 2012, Mii persoane, 158.1
Total, Satu Mare, Anul 2013, Mii persoane, 158.5
Total, Satu Mare, Anul 2014, Mii persoane, 156.2
Total, Satu Mare, Anul 2015, Mii persoane, 151.3
Total, Satu Mare, Anul 2016, Mii persoane, 147
Total, Satu Mare, Anul 2017, Mii persoane, 147.7
Total, Satu Mare, Anul 2018, Mii persoane, 146.5
Total, Satu Mare, Anul 2019, Mii persoane, 146.3
Total, Satu Mare, Anul 2020, Mii persoane, 146.1
Total, Satu Mare, Anul 2021, Mii persoane, 127.8
Total, Satu Mare, Anul 2022, Mii persoane, 130.8
Total, Satu Mare, Anul 2023, Mii persoane, 128.2
Total, Satu Mare, Anul 2024, Mii persoane, 128.5
Total, Salaj, Anul 1990, Mii persoane, 123.1
Total, Salaj, Anul 1991, Mii persoane, 126.2
Total, Salaj, Anul 1992, Mii persoane, 128
Total, Salaj, Anul 1993, Mii persoane, 129.3
Total, Salaj, Anul 1994, Mii persoane, 126.5
Total, Salaj, Anul 1995, Mii persoane, 119.7
Total, Salaj, Anul 1996, Mii persoane, 119.6
Total, Salaj, Anul 1997, Mii persoane, 119.7
Total, Salaj, Anul 1998, Mii persoane, 118.5
Total, Salaj, Anul 1999, Mii persoane, 131.4
Total, Salaj, Anul 2000, Mii persoane, 116.4
Total, Salaj, Anul 2001, Mii persoane, 114.8
Total, Salaj, Anul 2002, Mii persoane, 105.1
Total, Salaj, Anul 2003, Mii persoane, 104.4
Total, Salaj, Anul 2004, Mii persoane, 100.2
Total, Salaj, Anul 2005, Mii persoane, 103.1
Total, Salaj, Anul 2006, Mii persoane, 106
Total, Salaj, Anul 2007, Mii persoane, 106.8
Total, Salaj, Anul 2008, Mii persoane, 106.4
