Varste si grupe de varsta, Sexe, Medii de rezidenta, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Total, Total, Total, Bihor, Anul 2012, Numar persoane, 575731
Total, Total, Total, Bihor, Anul 2013, Numar persoane, 575270
Total, Total, Total, Bihor, Anul 2014, Numar persoane, 573769
Total, Total, Total, Bihor, Anul 2015, Numar persoane, 572057
Total, Total, Total, Bihor, Anul 2016, Numar persoane, 568969
Total, Total, Total, Bihor, Anul 2017, Numar persoane, 566381
Total, Total, Total, Bihor, Anul 2018, Numar persoane, 564171
Total, Total, Total, Bihor, Anul 2019, Numar persoane, 561621
Total, Total, Total, Bihor, Anul 2020, Numar persoane, 560646
Total, Total, Total, Bihor, Anul 2021, Numar persoane, 557836
Total, Total, Total, Bihor, Anul 2022, Numar persoane, 552031
Total, Total, Total, Bihor, Anul 2023, Numar persoane, 554016
Total, Total, Total, Bihor, Anul 2024, Numar persoane, 556008
Total, Total, Total, Bihor, Anul 2025, Numar persoane, 556894
Total, Total, Total, Bistrita-Nasaud, Anul 2012, Numar persoane, 285468
Total, Total, Total, Bistrita-Nasaud, Anul 2013, Numar persoane, 284178
Total, Total, Total, Bistrita-Nasaud, Anul 2014, Numar persoane, 283910
Total, Total, Total, Bistrita-Nasaud, Anul 2015, Numar persoane, 283255
Total, Total, Total, Bistrita-Nasaud, Anul 2016, Numar persoane, 282495
Total, Total, Total, Bistrita-Nasaud, Anul 2017, Numar persoane, 281387
Total, Total, Total, Bistrita-Nasaud, Anul 2018, Numar persoane, 280058
Total, Total, Total, Bistrita-Nasaud, Anul 2019, Numar persoane, 278868
Total, Total, Total, Bistrita-Nasaud, Anul 2020, Numar persoane, 278033
Total, Total, Total, Bistrita-Nasaud, Anul 2021, Numar persoane, 276517
Total, Total, Total, Bistrita-Nasaud, Anul 2022, Numar persoane, 295351
Total, Total, Total, Bistrita-Nasaud, Anul 2023, Numar persoane, 296140
Total, Total, Total, Bistrita-Nasaud, Anul 2024, Numar persoane, 297036
Total, Total, Total, Bistrita-Nasaud, Anul 2025, Numar persoane, 297211
Total, Total, Total, Cluj, Anul 2012, Numar persoane, 693608
Total, Total, Total, Cluj, Anul 2013, Numar persoane, 697457
Total, Total, Total, Cluj, Anul 2014, Numar persoane, 699097
Total, Total, Total, Cluj, Anul 2015, Numar persoane, 700982
Total, Total, Total, Cluj, Anul 2016, Numar persoane, 701258
Total, Total, Total, Cluj, Anul 2017, Numar persoane, 702780
Total, Total, Total, Cluj, Anul 2018, Numar persoane, 704619
Total, Total, Total, Cluj, Anul 2019, Numar persoane, 706952
Total, Total, Total, Cluj, Anul 2020, Numar persoane, 709872
Total, Total, Total, Cluj, Anul 2021, Numar persoane, 710664
Total, Total, Total, Cluj, Anul 2022, Numar persoane, 683028
Total, Total, Total, Cluj, Anul 2023, Numar persoane, 688844
Total, Total, Total, Cluj, Anul 2024, Numar persoane, 693413
Total, Total, Total, Cluj, Anul 2025, Numar persoane, 697374
Total, Total, Total, Maramures, Anul 2012, Numar persoane, 477180
Total, Total, Total, Maramures, Anul 2013, Numar persoane, 474115
Total, Total, Total, Maramures, Anul 2014, Numar persoane, 472483
Total, Total, Total, Maramures, Anul 2015, Numar persoane, 470714
Total, Total, Total, Maramures, Anul 2016, Numar persoane, 468333
Total, Total, Total, Maramures, Anul 2017, Numar persoane, 465423
Total, Total, Total, Maramures, Anul 2018, Numar persoane, 463306
Total, Total, Total, Maramures, Anul 2019, Numar persoane, 460756
Total, Total, Total, Maramures, Anul 2020, Numar persoane, 458927
Total, Total, Total, Maramures, Anul 2021, Numar persoane, 455160
Total, Total, Total, Maramures, Anul 2022, Numar persoane, 451499
Total, Total, Total, Maramures, Anul 2023, Numar persoane, 451728
Total, Total, Total, Maramures, Anul 2024, Numar persoane, 451993
Total, Total, Total, Maramures, Anul 2025, Numar persoane, 450925
Total, Total, Total, Satu Mare, Anul 2012, Numar persoane, 343530
Total, Total, Total, Satu Mare, Anul 2013, Numar persoane, 342118
Total, Total, Total, Satu Mare, Anul 2014, Numar persoane, 341094
Total, Total, Total, Satu Mare, Anul 2015, Numar persoane, 339987
Total, Total, Total, Satu Mare, Anul 2016, Numar persoane, 338181
Total, Total, Total, Satu Mare, Anul 2017, Numar persoane, 336543
Total, Total, Total, Satu Mare, Anul 2018, Numar persoane, 334589
Total, Total, Total, Satu Mare, Anul 2019, Numar persoane, 332610
Total, Total, Total, Satu Mare, Anul 2020, Numar persoane, 331500
Total, Total, Total, Satu Mare, Anul 2021, Numar persoane, 329535
Total, Total, Total, Satu Mare, Anul 2022, Numar persoane, 330363
Total, Total, Total, Satu Mare, Anul 2023, Numar persoane, 330662
Total, Total, Total, Satu Mare, Anul 2024, Numar persoane, 330815
Total, Total, Total, Satu Mare, Anul 2025, Numar persoane, 330466
Total, Total, Total, Salaj, Anul 2012, Numar persoane, 223360
Total, Total, Total, Salaj, Anul 2013, Numar persoane, 221685
Total, Total, Total, Salaj, Anul 2014, Numar persoane, 220479
Total, Total, Total, Salaj, Anul 2015, Numar persoane, 219039
Total, Total, Total, Salaj, Anul 2016, Numar persoane, 217331
Total, Total, Total, Salaj, Anul 2017, Numar persoane, 215878
Total, Total, Total, Salaj, Anul 2018, Numar persoane, 213761
Total, Total, Total, Salaj, Anul 2019, Numar persoane, 211663
Total, Total, Total, Salaj, Anul 2020, Numar persoane, 209982
Total, Total, Total, Salaj, Anul 2021, Numar persoane, 209114
Total, Total, Total, Salaj, Anul 2022, Numar persoane, 211329
Total, Total, Total, Salaj, Anul 2023, Numar persoane, 210652
Total, Total, Total, Salaj, Anul 2024, Numar persoane, 210645
Total, Total, Total, Salaj, Anul 2025, Numar persoane, 211140
Total, Total, Total, Alba, Anul 2012, Numar persoane, 341479
Total, Total, Total, Alba, Anul 2013, Numar persoane, 339517
Total, Total, Total, Alba, Anul 2014, Numar persoane, 337717
Total, Total, Total, Alba, Anul 2015, Numar persoane, 335915
Total, Total, Total, Alba, Anul 2016, Numar persoane, 333488
Total, Total, Total, Alba, Anul 2017, Numar persoane, 330954
Total, Total, Total, Alba, Anul 2018, Numar persoane, 328264
Total, Total, Total, Alba, Anul 2019, Numar persoane, 325475
Total, Total, Total, Alba, Anul 2020, Numar persoane, 324071
Total, Total, Total, Alba, Anul 2021, Numar persoane, 321199
Total, Total, Total, Alba, Anul 2022, Numar persoane, 325715
Total, Total, Total, Alba, Anul 2023, Numar persoane, 325838
Total, Total, Total, Alba, Anul 2024, Numar persoane, 325757
Total, Total, Total, Alba, Anul 2025, Numar persoane, 325260
Total, Total, Total, Brasov, Anul 2012, Numar persoane, 549519
Total, Total, Total, Brasov, Anul 2013, Numar persoane, 550713
Total, Total, Total, Brasov, Anul 2014, Numar persoane, 550912
Total, Total, Total, Brasov, Anul 2015, Numar persoane, 551160
Total, Total, Total, Brasov, Anul 2016, Numar persoane, 550934
Total, Total, Total, Brasov, Anul 2017, Numar persoane, 550789
Total, Total, Total, Brasov, Anul 2018, Numar persoane, 551185
Total, Total, Total, Brasov, Anul 2019, Numar persoane, 552390
Total, Total, Total, Brasov, Anul 2020, Numar persoane, 554014
Total, Total, Total, Brasov, Anul 2021, Numar persoane, 553807
Total, Total, Total, Brasov, Anul 2022, Numar persoane, 548254
Total, Total, Total, Brasov, Anul 2023, Numar persoane, 552813
Total, Total, Total, Brasov, Anul 2024, Numar persoane, 557143
Total, Total, Total, Brasov, Anul 2025, Numar persoane, 560277
Total, Total, Total, Covasna, Anul 2012, Numar persoane, 209713
Total, Total, Total, Covasna, Anul 2013, Numar persoane, 208976
