County,Capital City,Latitude,Longitude
 Alba,Alba Iulia,46.0764,23.5728
 Arad,Arad,46.1667,21.3167
 Arges,Pitesti,44.8667,24.8833
 Bacau,Bacau,46.5833,26.9167
 Bihor,Oradea,47.0722,21.9211
 Bistrita-Nasaud,Bistrita,47.1333,24.4833
 Botosani,Botosani,47.7486,26.6694
 Braila,Brasov,45.6522,25.6106
 Brasov,Braila,45.2692,27.9575
 Buzau,Buzau,45.1517,26.8167
 Caras-Severin,Resita,45.3,21.8903
 Calarasi,Calarasi,44.2,27.3333
 Cluj,Cluj-Napoca,46.7689,23.5907
 Constanta,Constanta,44.1733,28.6383
 Covasna,Sfantu Gheorghe,45.8653,25.7878
 Dambovita,Targoviste,44.9244,25.4572
 Dolj,Craiova,44.3333,23.8167
 Galati,Galati,45.4233,28.0425
 Giurgiu,Giurgiu,43.9,25.9667
 Gorj,Targu Jiu,45.0342,23.2747
 Harghita,Miercurea Ciuc,46.3594,25.8039
 Hunedoara,Deva,45.8719,22.9117
 Ialomita,Slobozia,44.5639,27.3661
 Iasi,Iasi,47.1622,27.5889
 Ilfov,Buftea,44.5714,25.9525
 Maramures,Baia Mare,47.6567,23.5719
 Mehedinti,Drobeta-Turnu Severin,44.6361,22.6556
 Mures,Targu Mures,46.5497,24.5597
 Neamt,Piatra Neamt,46.9275,26.3708
 Olt,Slatina,44.4297,24.3642
 Prahova,Ploiesti,44.9411,26.0225
 Satu Mare,Satu Mare,47.79,22.89
 Salaj,Zalau,47.1911,23.0572
 Sibiu,Sibiu,45.8,24.15
 Suceava,Suceava,47.6514,26.2556
 Teleorman,Alexandria,43.9686,25.3333
 Timis,Timisoara,45.7597,21.23
 Tulcea,Tulcea,45.1775,28.8036
 Vaslui,Vaslui,46.6468,27.7387
 Valcea,Ramnicu Valcea,45.1047,24.3756
 Vrancea,Focsani,45.6997,27.1797
 Municipiul Bucuresti,Bucharest,44.4134,26.0978
