Niveluri de educatie, Forme de invatamant, Macroregiuni  regiuni de dezvoltare si judete, Ani, UM: Numar persoane, Valoare
Invatamant universitar - absolventi cu diploma (licenta  master  cursuri postuniversitare  doctorat si programe postdoctorale de cercetare avansata), Total, Bihor, Anul 2014, Numar persoane, 4021
Invatamant universitar - absolventi cu diploma (licenta  master  cursuri postuniversitare  doctorat si programe postdoctorale de cercetare avansata), Total, Bihor, Anul 2015, Numar persoane, 3710
Invatamant universitar - absolventi cu diploma (licenta  master  cursuri postuniversitare  doctorat si programe postdoctorale de cercetare avansata), Total, Bihor, Anul 2016, Numar persoane, 3486
Invatamant universitar - absolventi cu diploma (licenta  master  cursuri postuniversitare  doctorat si programe postdoctorale de cercetare avansata), Total, Bihor, Anul 2017, Numar persoane, 3752
Invatamant universitar - absolventi cu diploma (licenta  master  cursuri postuniversitare  doctorat si programe postdoctorale de cercetare avansata), Total, Bihor, Anul 2018, Numar persoane, 3557
Invatamant universitar - absolventi cu diploma (licenta  master  cursuri postuniversitare  doctorat si programe postdoctorale de cercetare avansata), Total, Bihor, Anul 2019, Numar persoane, 3687
Invatamant universitar - absolventi cu diploma (licenta  master  cursuri postuniversitare  doctorat si programe postdoctorale de cercetare avansata), Total, Bihor, Anul 2020, Numar persoane, 3795
Invatamant universitar - absolventi cu diploma (licenta  master  cursuri postuniversitare  doctorat si programe postdoctorale de cercetare avansata), Total, Bihor, Anul 2021, Numar persoane, 3703
Invatamant universitar - absolventi cu diploma (licenta  master  cursuri postuniversitare  doctorat si programe postdoctorale de cercetare avansata), Total, Bihor, Anul 2022, Numar persoane, 3993
Invatamant universitar - absolventi cu diploma (licenta  master  cursuri postuniversitare  doctorat si programe postdoctorale de cercetare avansata), Total, Bihor, Anul 2023, Numar persoane, 3882
Invatamant universitar - absolventi cu diploma (licenta  master  cursuri postuniversitare  doctorat si programe postdoctorale de cercetare avansata), Total, Bistrita-Nasaud, Anul 2014, Numar persoane, 347
Invatamant universitar - absolventi cu diploma (licenta  master  cursuri postuniversitare  doctorat si programe postdoctorale de cercetare avansata), Total, Bistrita-Nasaud, Anul 2015, Numar persoane, 266
